time,Open,High,Low,Close,Volume
2023-01-31 22:00:00+00:00,1576.26,1743.58,1462.88,1605.25,7759496
2023-02-28 22:00:00+00:00,1604.55,1678.52,1369.26,1425.62,1918483
2023-03-31 21:00:00+00:00,1425.62,2134.54,1425.62,1897.28,3727048
2023-05-31 21:00:00+00:00,1865.15,1946.7,1622.4,1927.74,3964437
2023-06-30 21:00:00+00:00,1919.04,2030.8,1826.14,1852.61,3713514
2023-07-31 21:00:00+00:00,1850.94,1879.12,1568.3,1647.96,3010815
2023-08-31 21:00:00+00:00,1647.15,1688.8,1530.34,1667.04,2963661
2023-10-31 21:00:00+00:00,1811.92,2136.9,1777.28,2046.82,7315905
2023-11-30 22:00:00+00:00,2046.4,2448.01,2041.38,2284.62,8443279
2024-01-31 22:00:00+00:00,2272.18,3523.38,2238.22,3351.64,8072398
2024-02-29 22:00:00+00:00,3346.4,4094.26,3057.26,3496.29,9296272
2024-04-30 21:00:00+00:00,2975.6,3974.36,2813.11,3790.22,9285735
2024-05-31 21:00:00+00:00,3785.55,3888.65,3229.48,3382.71,7427823
2024-07-31 21:00:00+00:00,3228.4,3244.1,2094.01,2518.29,7463087
2024-09-30 21:00:00+00:00,2611.0,2768.88,2308.72,2515.8,4860015
2024-10-31 21:00:00+00:00,2515.75,3689.75,2356.32,3593.56,9226118
